DATE,PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,FIRE_START_DAY,YEAR,TEMP_RANGE,WIND_TEMP_RATIO,MONTH,SEASON,LAGGED_PRECIPITATION,LAGGED_AVG_WIND_SPEED,DAY_OF_YEAR
1/1/84,0,79,51,4.7,FALSE,1984,28,0.059493670886075954,1,Winter,0,4.7,1
1/2/84,0,71,46,5.59,FALSE,1984,25,0.078732394,1,Winter,0,5.145,2
1/3/84,0,70,47,5.37,FALSE,1984,23,0.076714286,1,Winter,0,5.22,3
1/4/84,0,76,45,4.7,FALSE,1984,31,0.061842105,1,Winter,0,5.09,4
1/5/84,0,74,49,5.14,FALSE,1984,25,0.069459459,1,Winter,0,5.1,5
1/6/84,0,65,49,7.38,FALSE,1984,16,0.11353846153846153,1,Winter,0,5.48,6
1/7/84,0,59,54,5.82,FALSE,1984,5,0.098644068,1,Winter,0,5.528571428571429,7
1/8/84,0,59,55,3.36,FALSE,1984,4,0.056949153,1,Winter,0,5.337142857142857,8
1/9/84,0,61,54,6.71,FALSE,1984,7,0.11,1,Winter,0,5.497142857142857,9
1/10/84,0,70,47,4.7,FALSE,1984,23,0.067142857,1,Winter,0,5.401428571,10
1/11/84,0,68,46,5.82,FALSE,1984,22,0.085588235,1,Winter,0,5.561428571428571,11
1/12/84,0,69,47,5.14,FALSE,1984,22,0.074492754,1,Winter,0,5.561428571428571,12
1/13/84,0,62,48,6.93,FALSE,1984,14,0.1117741935483871,1,Winter,0,5.497142857142857,13
1/14/84,0,59,48,6.04,FALSE,1984,11,0.1023728813559322,1,Winter,0,5.528571428571429,14
1/15/84,0,59,43,6.71,FALSE,1984,16,0.11372881355932203,1,Winter,0,6.007142857142857,15
1/16/84,0.39,55,45,6.71,FALSE,1984,10,0.122,1,Winter,0.39,6.007142857142857,16
1/17/84,0,63,41,5.59,FALSE,1984,22,0.088730159,1,Winter,0.39,6.134285714285714,17
1/18/84,0,61,44,5.59,FALSE,1984,17,0.091639344,1,Winter,0.39,6.1014285714285705,18
1/19/84,0,60,47,4.92,FALSE,1984,13,0.082,1,Winter,0.39,6.069999999999999,19
1/20/84,0,70,44,5.59,FALSE,1984,26,0.079857143,1,Winter,0.39,5.878571428571429,20
1/21/84,0,64,53,5.82,FALSE,1984,11,0.0909375,1,Winter,0.39,5.847142857142857,21
1/22/84,0,62,45,6.71,FALSE,1984,17,0.10822580645161291,1,Winter,0.39,5.847142857142856,22
